pair_id,report_a_id,report_b_id,label,pair_type
pair_1437,sdk_api_500_07,sdk_api_500_08,duplicate,D2
pair_0770,syn_stale_cache_00,syn_stale_cache_02,duplicate,D2
pair_3304,gh_1572705692,sdk_checkout_crash_04,not_duplicate,D4
pair_1569,sdk_broken_image_06,sdk_broken_image_07,duplicate,D2
pair_3649,sdk_stale_closure_01,gh_4066596986,not_duplicate,D4
pair_3753,syn_animation_jank_05,sdk_api_500_08,not_duplicate,D4
pair_3769,sdk_zindex_conflict_08,sdk_form_crash_09,not_duplicate,D4
pair_3935,syn_chart_resize_overflow_07,syn_checkout_coupon_07,not_duplicate,D4
pair_1487,sdk_form_crash_00,sdk_form_crash_03,duplicate,D2
pair_3499,sdk_websocket_fail_09,gh_2048336256,not_duplicate,D4
pair_3474,syn_chart_resize_overflow_02,sdk_unauthorized_401_08,not_duplicate,D4
pair_3553,sdk_null_dom_09,gh_2744101357,not_duplicate,D4
pair_0547,syn_cors_preflight_00,syn_cors_preflight_02,duplicate,D2
pair_1897,sdk_network_timeout_00,sdk_network_timeout_08,duplicate,D2
pair_4039,syn_image_lazy_load_03,sdk_null_dom_05,not_duplicate,D4
pair_2710,gh_3870899130,gh_3860197730,not_duplicate,D3
pair_0418,syn_form_validation_race_00,syn_form_validation_race_08,duplicate,D2
pair_3079,syn_login_csrf_09,sdk_invalid_date_06,not_duplicate,D4
pair_1113,syn_pdf_export_blank_04,syn_pdf_export_blank_07,duplicate,D2
pair_2058,sdk_websocket_fail_04,sdk_websocket_fail_08,duplicate,D2
pair_3121,syn_checkout_coupon_01,syn_search_empty_state_07,not_duplicate,D4
pair_2437,sdk_listener_leak_00,sdk_listener_leak_08,duplicate,D2
pair_2023,sdk_rate_limit_429_07,sdk_rate_limit_429_09,duplicate,D2
pair_1456,sdk_slow_page_01,sdk_slow_page_09,duplicate,D2
pair_1430,sdk_api_500_05,sdk_api_500_06,duplicate,D2
pair_4397,sdk_checkout_crash_01,sdk_listener_leak_02,not_duplicate,D4
pair_2820,gh_4117107989,gh_4008862084,not_duplicate,D3
pair_0117,syn_infinite_scroll_memory_02,syn_infinite_scroll_memory_05,duplicate,D2
pair_2141,sdk_dom_explosion_03,sdk_dom_explosion_06,duplicate,D2
pair_0800,syn_stale_cache_04,syn_stale_cache_07,duplicate,D2
pair_0309,syn_modal_scroll_lock_04,syn_modal_scroll_lock_07,duplicate,D2
pair_2515,syn_dark_mode_flash_06,syn_chart_resize_overflow_01,not_duplicate,D3
pair_0486,syn_image_lazy_load_04,syn_image_lazy_load_05,duplicate,D2
pair_0804,syn_stale_cache_05,syn_stale_cache_07,duplicate,D2
pair_2072,sdk_long_task_00,sdk_long_task_03,duplicate,D2
pair_0609,syn_dropdown_z_index_02,syn_dropdown_z_index_06,duplicate,D2
pair_3141,gh_1931797351,syn_pdf_export_blank_06,not_duplicate,D4
pair_2611,syn_date_picker_timezone_00,syn_password_reveal_crash_04,not_duplicate,D3
pair_1203,syn_password_reveal_crash_04,syn_password_reveal_crash_07,duplicate,D2
pair_0301,syn_modal_scroll_lock_03,syn_modal_scroll_lock_04,duplicate,D2
pair_3217,gh_3854696745,syn_notification_permission_02,not_duplicate,D4
pair_1004,syn_table_sort_nan_01,syn_table_sort_nan_05,duplicate,D2
pair_2623,syn_react_key_warning_03,syn_useeffect_loop_07,not_duplicate,D3
pair_1906,sdk_network_timeout_01,sdk_network_timeout_09,duplicate,D2
pair_2106,sdk_long_task_05,sdk_long_task_07,duplicate,D2
pair_0505,syn_ssr_hydration_mismatch_00,syn_ssr_hydration_mismatch_05,duplicate,D2
pair_2313,sdk_zindex_conflict_02,sdk_zindex_conflict_04,duplicate,D2
pair_4036,sdk_network_timeout_03,syn_form_validation_race_01,not_duplicate,D4
pair_1295,syn_chart_resize_overflow_05,syn_chart_resize_overflow_06,duplicate,D2
pair_1962,sdk_unauthorized_401_03,sdk_unauthorized_401_07,duplicate,D2
pair_4061,syn_notification_permission_01,syn_login_csrf_04,not_duplicate,D4
pair_1864,sdk_cors_error_02,sdk_cors_error_05,duplicate,D2
pair_1571,sdk_broken_image_06,sdk_broken_image_09,duplicate,D2
pair_0814,syn_a11y_focus_trap_00,syn_a11y_focus_trap_02,duplicate,D2
pair_1853,sdk_cors_error_00,sdk_cors_error_09,duplicate,D2
pair_2523,gh_2175833638,gh_1992582481,not_duplicate,D3
pair_0904,syn_clipboard_paste_crash_00,syn_clipboard_paste_crash_03,duplicate,D2
pair_0056,syn_login_csrf_00,syn_login_csrf_04,duplicate,D2
pair_1812,sdk_invalid_date_01,sdk_invalid_date_05,duplicate,D2
pair_0700,syn_oauth_redirect_loop_02,syn_oauth_redirect_loop_07,duplicate,D2
pair_2354,sdk_layout_shift_01,sdk_layout_shift_07,duplicate,D2
pair_3606,syn_password_reveal_crash_06,syn_websocket_reconnect_02,not_duplicate,D4
pair_1152,syn_drag_drop_ghost_03,syn_drag_drop_ghost_06,duplicate,D2
pair_1884,sdk_cors_error_06,sdk_cors_error_07,duplicate,D2
pair_3166,syn_pdf_export_blank_08,syn_modal_scroll_lock_03,not_duplicate,D4
pair_1148,syn_drag_drop_ghost_02,syn_drag_drop_ghost_08,duplicate,D2
pair_4066,syn_chart_resize_overflow_00,syn_react_key_warning_03,not_duplicate,D4
pair_1429,sdk_api_500_04,sdk_api_500_09,duplicate,D2
pair_3628,syn_checkout_coupon_08,syn_password_reveal_crash_05,not_duplicate,D4
pair_3338,syn_a11y_focus_trap_04,sdk_heavy_canvas_02,not_duplicate,D4
pair_1666,sdk_stack_overflow_00,sdk_stack_overflow_02,duplicate,D2
pair_1079,syn_geolocation_timeout_07,syn_geolocation_timeout_09,duplicate,D2
pair_2708,gh_4181700882,gh_3858030854,not_duplicate,D3
pair_0192,syn_file_upload_crash_00,syn_file_upload_crash_05,duplicate,D2
pair_0956,syn_notification_permission_01,syn_notification_permission_02,duplicate,D2
pair_2582,syn_dark_mode_flash_04,syn_chart_resize_overflow_06,not_duplicate,D3
pair_1719,sdk_null_dom_01,sdk_null_dom_02,duplicate,D2
pair_3455,syn_file_upload_crash_07,syn_dark_mode_flash_03,not_duplicate,D4
pair_3771,syn_drag_drop_ghost_01,syn_table_sort_nan_02,not_duplicate,D4
pair_2722,syn_file_upload_crash_09,syn_clipboard_paste_crash_08,not_duplicate,D3
pair_1582,sdk_rage_clicks_00,sdk_rage_clicks_08,duplicate,D2
pair_3441,syn_date_picker_timezone_08,syn_cors_preflight_04,not_duplicate,D4
pair_2960,gh_4066596986,gh_3870899130,not_duplicate,D3
pair_3363,syn_dropdown_z_index_01,sdk_form_crash_03,not_duplicate,D4
pair_1890,sdk_network_timeout_00,sdk_network_timeout_01,duplicate,D2
pair_2638,sdk_json_parse_crash_06,sdk_network_timeout_04,not_duplicate,D3
pair_2656,syn_notification_permission_07,syn_video_autoplay_blocked_05,not_duplicate,D3
pair_3044,syn_ssr_hydration_mismatch_05,syn_react_key_warning_02,not_duplicate,D3
pair_3603,syn_date_picker_timezone_02,gh_2062619579,not_duplicate,D4
pair_3193,sdk_api_500_02,sdk_stale_closure_02,not_duplicate,D4
pair_0236,syn_search_empty_state_00,syn_search_empty_state_04,duplicate,D2
pair_4303,gh_1465982477,syn_drag_drop_ghost_07,not_duplicate,D4
pair_0611,syn_dropdown_z_index_02,syn_dropdown_z_index_08,duplicate,D2
pair_1048,syn_geolocation_timeout_01,syn_geolocation_timeout_05,duplicate,D2
pair_4386,syn_react_key_warning_07,sdk_long_task_09,not_duplicate,D4
pair_3014,syn_file_upload_crash_08,syn_clipboard_paste_crash_03,not_duplicate,D3
pair_1245,syn_video_autoplay_blocked_03,syn_video_autoplay_blocked_09,duplicate,D2
pair_1311,syn_service_worker_stale_00,syn_service_worker_stale_07,duplicate,D2
pair_0728,syn_animation_jank_00,syn_animation_jank_05,duplicate,D2
pair_1155,syn_drag_drop_ghost_03,syn_drag_drop_ghost_09,duplicate,D2
pair_3426,gh_3860197730,sdk_invalid_date_07,not_duplicate,D4
pair_0852,syn_a11y_focus_trap_06,syn_a11y_focus_trap_08,duplicate,D2
pair_3656,syn_clipboard_paste_crash_03,syn_image_lazy_load_06,not_duplicate,D4
pair_1860,sdk_cors_error_01,sdk_cors_error_08,duplicate,D2
pair_1636,sdk_json_parse_crash_01,sdk_json_parse_crash_09,duplicate,D2
pair_0437,syn_form_validation_race_03,syn_form_validation_race_06,duplicate,D2
pair_4378,syn_useeffect_loop_00,syn_stale_cache_04,not_duplicate,D4
pair_3236,gh_1669728508,syn_modal_scroll_lock_09,not_duplicate,D4
pair_1694,sdk_stack_overflow_03,sdk_stack_overflow_09,duplicate,D2
pair_2340,sdk_layout_shift_00,sdk_layout_shift_01,duplicate,D2
pair_0968,syn_notification_permission_02,syn_notification_permission_07,duplicate,D2
pair_3255,sdk_rate_limit_429_00,syn_table_sort_nan_04,not_duplicate,D4
pair_0388,syn_websocket_reconnect_02,syn_websocket_reconnect_08,duplicate,D2
pair_3056,gh_2333314930,gh_1983929292,not_duplicate,D3
pair_3541,sdk_invalid_date_00,gh_3987748572,not_duplicate,D4
pair_1848,sdk_cors_error_00,sdk_cors_error_04,duplicate,D2
pair_0525,syn_ssr_hydration_mismatch_03,syn_ssr_hydration_mismatch_04,duplicate,D2
pair_0972,syn_notification_permission_03,syn_notification_permission_05,duplicate,D2
pair_1941,sdk_unauthorized_401_00,sdk_unauthorized_401_07,duplicate,D2
pair_4091,syn_modal_scroll_lock_09,sdk_broken_image_08,not_duplicate,D4
pair_2455,sdk_listener_leak_03,sdk_listener_leak_05,duplicate,D2
pair_1544,sdk_broken_image_01,sdk_broken_image_07,duplicate,D2
pair_2153,sdk_dom_explosion_05,sdk_dom_explosion_09,duplicate,D2
pair_0242,syn_search_empty_state_01,syn_search_empty_state_02,duplicate,D2
pair_2052,sdk_websocket_fail_03,sdk_websocket_fail_07,duplicate,D2
pair_2732,gh_2744101357,gh_1570218883,not_duplicate,D3
pair_1578,sdk_rage_clicks_00,sdk_rage_clicks_04,duplicate,D2
pair_3111,gh_3852796585,sdk_broken_image_08,not_duplicate,D4
pair_2601,syn_table_sort_nan_04,syn_password_reveal_crash_06,not_duplicate,D3
pair_0004,syn_stale_cache_00,syn_stale_cache_09,duplicate,D1
pair_2928,syn_file_upload_crash_02,syn_password_reveal_crash_06,not_duplicate,D3
pair_2348,sdk_layout_shift_00,sdk_layout_shift_09,duplicate,D2
pair_2894,syn_file_upload_crash_02,syn_date_picker_timezone_07,not_duplicate,D3
pair_1594,sdk_rage_clicks_02,sdk_rage_clicks_05,duplicate,D2
pair_3145,gh_3898634029,syn_search_empty_state_04,not_duplicate,D4
pair_0503,syn_ssr_hydration_mismatch_00,syn_ssr_hydration_mismatch_03,duplicate,D2
pair_0208,syn_file_upload_crash_02,syn_file_upload_crash_06,duplicate,D2
pair_1987,sdk_rate_limit_429_00,sdk_rate_limit_429_08,duplicate,D2
pair_0140,syn_infinite_scroll_memory_07,syn_infinite_scroll_memory_08,duplicate,D2
pair_3892,sdk_zindex_conflict_03,syn_websocket_reconnect_04,not_duplicate,D4
pair_2628,syn_form_validation_race_07,syn_service_worker_stale_05,not_duplicate,D3
pair_4073,gh_2216662389,sdk_websocket_fail_09,not_duplicate,D4
pair_1710,sdk_null_dom_00,sdk_null_dom_01,duplicate,D2
pair_1112,syn_pdf_export_blank_04,syn_pdf_export_blank_06,duplicate,D2
pair_1881,sdk_cors_error_05,sdk_cors_error_07,duplicate,D2
pair_3941,syn_a11y_focus_trap_08,sdk_long_task_04,not_duplicate,D4
pair_3319,gh_2062619579,sdk_websocket_fail_01,not_duplicate,D4
pair_0689,syn_oauth_redirect_loop_01,syn_oauth_redirect_loop_03,duplicate,D2
pair_3716,sdk_broken_image_06,syn_animation_jank_01,not_duplicate,D4
pair_4400,sdk_broken_image_07,gh_4094612275,not_duplicate,D4
pair_3806,sdk_null_dom_07,syn_infinite_scroll_memory_06,not_duplicate,D4
pair_1468,sdk_slow_page_03,sdk_slow_page_08,duplicate,D2
pair_1366,sdk_checkout_crash_01,sdk_checkout_crash_09,duplicate,D2
pair_4468,syn_geolocation_timeout_00,sdk_form_crash_09,not_duplicate,D4
pair_1646,sdk_json_parse_crash_03,sdk_json_parse_crash_06,duplicate,D2
pair_3167,sdk_websocket_fail_02,sdk_stale_closure_06,not_duplicate,D4
pair_3535,syn_form_validation_race_02,sdk_null_dom_06,not_duplicate,D4
pair_3788,sdk_layout_shift_07,gh_1992582481,not_duplicate,D4
pair_0284,syn_modal_scroll_lock_00,syn_modal_scroll_lock_07,duplicate,D2
pair_3567,sdk_heavy_canvas_09,gh_3873422588,not_duplicate,D4
pair_2836,gh_2062619579,gh_1992582481,not_duplicate,D3
pair_4332,sdk_rate_limit_429_08,syn_modal_scroll_lock_04,not_duplicate,D4
pair_0781,syn_stale_cache_01,syn_stale_cache_06,duplicate,D2
pair_3814,syn_cors_preflight_08,syn_animation_jank_05,not_duplicate,D4
pair_1700,sdk_stack_overflow_05,sdk_stack_overflow_06,duplicate,D2
pair_2178,sdk_heavy_canvas_02,sdk_heavy_canvas_04,duplicate,D2
pair_2442,sdk_listener_leak_01,sdk_listener_leak_05,duplicate,D2
pair_3432,gh_4145847228,syn_video_autoplay_blocked_01,not_duplicate,D4
pair_2655,syn_dropdown_z_index_09,syn_a11y_focus_trap_02,not_duplicate,D3
pair_0064,syn_login_csrf_01,syn_login_csrf_04,duplicate,D2
pair_3445,syn_websocket_reconnect_00,syn_animation_jank_08,not_duplicate,D4
pair_4282,gh_2892686756,syn_a11y_focus_trap_06,not_duplicate,D4
pair_2255,sdk_stale_closure_00,sdk_stale_closure_06,duplicate,D2
pair_0264,syn_search_empty_state_04,syn_search_empty_state_06,duplicate,D2
pair_2951,gh_3987748572,gh_3870899130,not_duplicate,D3
pair_0475,syn_image_lazy_load_02,syn_image_lazy_load_05,duplicate,D2
pair_0971,syn_notification_permission_03,syn_notification_permission_04,duplicate,D2
pair_0368,syn_websocket_reconnect_00,syn_websocket_reconnect_03,duplicate,D2
pair_3559,syn_notification_permission_07,sdk_stale_closure_01,not_duplicate,D4
pair_2428,sdk_unhandled_promise_07,sdk_unhandled_promise_09,duplicate,D2
pair_3594,syn_geolocation_timeout_04,sdk_stack_overflow_05,not_duplicate,D4
pair_2324,sdk_zindex_conflict_03,sdk_zindex_conflict_09,duplicate,D2
pair_3795,gh_3912114234,syn_dark_mode_flash_00,not_duplicate,D4
pair_0508,syn_ssr_hydration_mismatch_00,syn_ssr_hydration_mismatch_08,duplicate,D2
pair_2977,gh_4004836123,gh_3848370593,not_duplicate,D3
pair_3329,syn_form_validation_race_06,gh_1570218883,not_duplicate,D4
pair_2074,sdk_long_task_00,sdk_long_task_05,duplicate,D2
pair_1413,sdk_api_500_02,sdk_api_500_04,duplicate,D2
pair_0692,syn_oauth_redirect_loop_01,syn_oauth_redirect_loop_06,duplicate,D2
pair_2999,gh_1931797351,gh_1669728508,not_duplicate,D3
pair_3848,sdk_long_task_01,sdk_checkout_crash_03,not_duplicate,D4
pair_0740,syn_animation_jank_01,syn_animation_jank_09,duplicate,D2
pair_4063,syn_geolocation_timeout_09,syn_password_reveal_crash_09,not_duplicate,D4
pair_2807,gh_4066560187,gh_3898634029,not_duplicate,D3
pair_0992,syn_table_sort_nan_00,syn_table_sort_nan_01,duplicate,D2
pair_0375,syn_websocket_reconnect_01,syn_websocket_reconnect_02,duplicate,D2
pair_0177,syn_dark_mode_flash_04,syn_dark_mode_flash_09,duplicate,D2
pair_1490,sdk_form_crash_00,sdk_form_crash_06,duplicate,D2
pair_1226,syn_video_autoplay_blocked_01,syn_video_autoplay_blocked_03,duplicate,D2
pair_2115,sdk_dom_explosion_00,sdk_dom_explosion_01,duplicate,D2
pair_2773,syn_dropdown_z_index_08,syn_drag_drop_ghost_08,not_duplicate,D3
pair_0927,syn_clipboard_paste_crash_03,syn_clipboard_paste_crash_05,duplicate,D2
pair_1340,syn_service_worker_stale_05,syn_service_worker_stale_06,duplicate,D2
pair_3807,syn_dark_mode_flash_09,sdk_rate_limit_429_07,not_duplicate,D4
pair_3069,syn_infinite_scroll_memory_05,syn_image_lazy_load_02,not_duplicate,D3
pair_2993,sdk_json_parse_crash_09,sdk_network_timeout_05,not_duplicate,D3
pair_4443,syn_stale_cache_04,syn_a11y_focus_trap_00,not_duplicate,D4
pair_1776,sdk_array_bounds_02,sdk_array_bounds_07,duplicate,D2
pair_0009,syn_checkout_coupon_00,syn_checkout_coupon_02,duplicate,D2
pair_0867,syn_useeffect_loop_01,syn_useeffect_loop_03,duplicate,D2
pair_2278,sdk_stale_closure_03,sdk_stale_closure_08,duplicate,D2
pair_0791,syn_stale_cache_02,syn_stale_cache_09,duplicate,D2
pair_1349,syn_service_worker_stale_08,syn_service_worker_stale_09,duplicate,D2
pair_1347,syn_service_worker_stale_07,syn_service_worker_stale_08,duplicate,D2
pair_4226,gh_4094612275,sdk_checkout_crash_05,not_duplicate,D4
pair_1648,sdk_json_parse_crash_03,sdk_json_parse_crash_08,duplicate,D2
pair_0591,syn_dropdown_z_index_00,syn_dropdown_z_index_01,duplicate,D2
pair_3811,sdk_zindex_conflict_05,gh_3051783603,not_duplicate,D4
pair_3574,syn_service_worker_stale_03,syn_websocket_reconnect_07,not_duplicate,D4
pair_3175,gh_4174987702,sdk_json_parse_crash_04,not_duplicate,D4
pair_3453,sdk_unhandled_promise_08,sdk_broken_image_04,not_duplicate,D4
pair_4141,sdk_unauthorized_401_09,syn_file_upload_crash_00,not_duplicate,D4
pair_4293,syn_table_sort_nan_01,syn_chart_resize_overflow_02,not_duplicate,D4
pair_1997,sdk_rate_limit_429_02,sdk_rate_limit_429_03,duplicate,D2
pair_1151,syn_drag_drop_ghost_03,syn_drag_drop_ghost_05,duplicate,D2
pair_2711,sdk_null_dom_00,sdk_unhandled_promise_05,not_duplicate,D3
pair_2975,syn_modal_scroll_lock_01,syn_drag_drop_ghost_03,not_duplicate,D3
pair_0034,syn_checkout_coupon_03,syn_checkout_coupon_06,duplicate,D2
pair_2901,syn_form_validation_race_04,syn_stale_cache_00,not_duplicate,D3
pair_3113,syn_checkout_coupon_08,sdk_layout_shift_05,not_duplicate,D4
pair_0364,syn_date_picker_timezone_07,syn_date_picker_timezone_09,duplicate,D2
pair_0716,syn_oauth_redirect_loop_05,syn_oauth_redirect_loop_08,duplicate,D2
pair_4136,sdk_layout_shift_02,syn_form_validation_race_02,not_duplicate,D4
pair_1040,syn_geolocation_timeout_00,syn_geolocation_timeout_05,duplicate,D2
pair_0550,syn_cors_preflight_00,syn_cors_preflight_05,duplicate,D2
pair_2822,syn_stale_cache_08,syn_service_worker_stale_02,not_duplicate,D3
pair_3041,syn_search_empty_state_00,syn_stale_cache_06,not_duplicate,D3
pair_1605,sdk_rage_clicks_04,sdk_rage_clicks_05,duplicate,D2
pair_0291,syn_modal_scroll_lock_01,syn_modal_scroll_lock_07,duplicate,D2
pair_3916,gh_2216662389,sdk_long_task_03,not_duplicate,D4
pair_4357,sdk_form_crash_08,syn_chart_resize_overflow_02,not_duplicate,D4
pair_4377,gh_4139328820,syn_chart_resize_overflow_03,not_duplicate,D4
pair_4312,syn_login_csrf_07,syn_a11y_focus_trap_05,not_duplicate,D4
pair_3260,syn_file_upload_crash_07,syn_websocket_reconnect_07,not_duplicate,D4
pair_0211,syn_file_upload_crash_02,syn_file_upload_crash_09,duplicate,D2
pair_1756,sdk_array_bounds_00,sdk_array_bounds_02,duplicate,D2
pair_4134,syn_notification_permission_07,syn_modal_scroll_lock_06,not_duplicate,D4
pair_0209,syn_file_upload_crash_02,syn_file_upload_crash_07,duplicate,D2
pair_3555,syn_dark_mode_flash_03,syn_ssr_hydration_mismatch_00,not_duplicate,D4
pair_3981,gh_2216662389,syn_video_autoplay_blocked_05,not_duplicate,D4
pair_2069,sdk_websocket_fail_08,sdk_websocket_fail_09,duplicate,D2
pair_1055,syn_geolocation_timeout_02,syn_geolocation_timeout_05,duplicate,D2
pair_2595,sdk_cors_error_06,sdk_rate_limit_429_01,not_duplicate,D3
pair_1638,sdk_json_parse_crash_02,sdk_json_parse_crash_04,duplicate,D2
pair_0888,syn_useeffect_loop_04,syn_useeffect_loop_06,duplicate,D2
pair_4459,sdk_form_crash_09,syn_image_lazy_load_04,not_duplicate,D4
pair_4149,sdk_listener_leak_02,sdk_zindex_conflict_04,not_duplicate,D4
pair_3514,syn_dropdown_z_index_09,sdk_network_timeout_08,not_duplicate,D4
pair_3115,sdk_dom_explosion_05,gh_3861668348,not_duplicate,D4
pair_2985,gh_4005084462,gh_3906017378,not_duplicate,D3
pair_2274,sdk_stale_closure_03,sdk_stale_closure_04,duplicate,D2
pair_2136,sdk_dom_explosion_02,sdk_dom_explosion_07,duplicate,D2
pair_2112,sdk_long_task_07,sdk_long_task_08,duplicate,D2
pair_3744,syn_useeffect_loop_05,sdk_broken_image_01,not_duplicate,D4
pair_1022,syn_table_sort_nan_04,syn_table_sort_nan_05,duplicate,D2
pair_3194,sdk_dom_explosion_02,sdk_unauthorized_401_01,not_duplicate,D4
pair_3351,gh_4202563980,sdk_form_crash_07,not_duplicate,D4
pair_2802,syn_file_upload_crash_04,syn_pdf_export_blank_02,not_duplicate,D3
pair_1046,syn_geolocation_timeout_01,syn_geolocation_timeout_03,duplicate,D2
pair_0195,syn_file_upload_crash_00,syn_file_upload_crash_08,duplicate,D2
pair_3287,sdk_cors_error_02,syn_image_lazy_load_08,not_duplicate,D4
pair_0007,syn_chart_resize_overflow_00,syn_chart_resize_overflow_01,duplicate,D1
pair_1195,syn_password_reveal_crash_03,syn_password_reveal_crash_04,duplicate,D2
pair_2022,sdk_rate_limit_429_07,sdk_rate_limit_429_08,duplicate,D2
pair_0838,syn_a11y_focus_trap_03,syn_a11y_focus_trap_06,duplicate,D2
pair_4314,sdk_websocket_fail_08,syn_search_empty_state_09,not_duplicate,D4
pair_1554,sdk_broken_image_03,sdk_broken_image_04,duplicate,D2
pair_4093,sdk_dom_explosion_05,syn_service_worker_stale_09,not_duplicate,D4
pair_0694,syn_oauth_redirect_loop_01,syn_oauth_redirect_loop_08,duplicate,D2
pair_3411,syn_notification_permission_06,sdk_zindex_conflict_07,not_duplicate,D4
pair_1733,sdk_null_dom_02,sdk_null_dom_09,duplicate,D2
pair_2454,sdk_listener_leak_03,sdk_listener_leak_04,duplicate,D2
pair_3484,syn_chart_resize_overflow_03,syn_animation_jank_00,not_duplicate,D4
pair_0109,syn_infinite_scroll_memory_01,syn_infinite_scroll_memory_04,duplicate,D2
pair_3315,gh_4202563980,sdk_layout_shift_03,not_duplicate,D4
pair_0189,syn_file_upload_crash_00,syn_file_upload_crash_02,duplicate,D2
pair_4301,gh_2272543195,syn_cors_preflight_08,not_duplicate,D4
pair_1644,sdk_json_parse_crash_03,sdk_json_parse_crash_04,duplicate,D2
pair_0510,syn_ssr_hydration_mismatch_01,syn_ssr_hydration_mismatch_02,duplicate,D2
pair_3078,sdk_slow_page_07,sdk_null_dom_04,not_duplicate,D4
pair_1477,sdk_slow_page_05,sdk_slow_page_08,duplicate,D2
pair_4181,sdk_cors_error_01,syn_video_autoplay_blocked_07,not_duplicate,D4
pair_2418,sdk_unhandled_promise_04,sdk_unhandled_promise_08,duplicate,D2
pair_3939,gh_1329896643,sdk_rate_limit_429_01,not_duplicate,D4
pair_0354,syn_date_picker_timezone_04,syn_date_picker_timezone_08,duplicate,D2
pair_3695,sdk_websocket_fail_00,syn_search_empty_state_06,not_duplicate,D4
pair_2380,sdk_layout_shift_06,sdk_layout_shift_08,duplicate,D2
pair_2330,sdk_zindex_conflict_05,sdk_zindex_conflict_06,duplicate,D2
pair_2436,sdk_listener_leak_00,sdk_listener_leak_07,duplicate,D2
pair_2579,gh_4117107989,gh_3852796585,not_duplicate,D3
pair_0926,syn_clipboard_paste_crash_03,syn_clipboard_paste_crash_04,duplicate,D2
pair_1998,sdk_rate_limit_429_02,sdk_rate_limit_429_04,duplicate,D2
pair_4244,gh_3986329515,syn_react_key_warning_05,not_duplicate,D4
