pair_id,model,cosine_score,label
bz_pair_0049,all-minilm,0.13484,not_duplicate
bz_pair_0050,all-minilm,0.572474,duplicate
bz_pair_0051,all-minilm,0.35143,duplicate
bz_pair_0052,all-minilm,0.575043,duplicate
bz_pair_0053,all-minilm,0.712121,duplicate
bz_pair_0054,all-minilm,1.0,duplicate
bz_pair_0055,all-minilm,0.222475,not_duplicate
bz_pair_0056,all-minilm,0.670241,duplicate
bz_pair_0057,all-minilm,0.722283,duplicate
bz_pair_0058,all-minilm,0.080122,not_duplicate
bz_pair_0059,all-minilm,0.637551,duplicate
bz_pair_0060,all-minilm,0.68351,duplicate
bz_pair_0061,all-minilm,-0.005775,not_duplicate
bz_pair_0062,all-minilm,0.684966,duplicate
bz_pair_0063,all-minilm,0.104517,not_duplicate
bz_pair_0064,all-minilm,0.085349,not_duplicate
bz_pair_0065,all-minilm,1.0,duplicate
bz_pair_0066,all-minilm,0.685125,duplicate
bz_pair_0067,all-minilm,0.486712,duplicate
bz_pair_0068,all-minilm,0.685749,duplicate
bz_pair_0069,all-minilm,0.394411,not_duplicate
bz_pair_0070,all-minilm,0.71659,duplicate
bz_pair_0071,all-minilm,0.619117,duplicate
bz_pair_0072,all-minilm,0.81102,duplicate
bz_pair_0073,all-minilm,0.771548,duplicate
bz_pair_0074,all-minilm,0.72431,duplicate
bz_pair_0075,all-minilm,0.509365,duplicate
bz_pair_0076,all-minilm,0.776551,duplicate
bz_pair_0077,all-minilm,0.849011,duplicate
bz_pair_0078,all-minilm,0.584955,duplicate
bz_pair_0079,all-minilm,0.497178,duplicate
bz_pair_0080,all-minilm,0.640251,duplicate
bz_pair_0081,all-minilm,0.614019,duplicate
bz_pair_0082,all-minilm,0.282648,duplicate
bz_pair_0083,all-minilm,0.251919,duplicate
bz_pair_0084,all-minilm,0.831067,duplicate
bz_pair_0085,all-minilm,0.717963,duplicate
bz_pair_0086,all-minilm,0.572914,duplicate
bz_pair_0087,all-minilm,0.086454,not_duplicate
bz_pair_0088,all-minilm,0.593089,duplicate
bz_pair_0089,all-minilm,0.524755,duplicate
bz_pair_0090,all-minilm,0.568431,duplicate
bz_pair_0091,all-minilm,0.606426,duplicate
bz_pair_0092,all-minilm,0.709476,duplicate
bz_pair_0093,all-minilm,0.437264,duplicate
bz_pair_0094,all-minilm,0.177474,not_duplicate
bz_pair_0095,all-minilm,1.0,duplicate
bz_pair_0096,all-minilm,0.436333,duplicate
bz_pair_0097,all-minilm,0.659638,duplicate
bz_pair_0098,all-minilm,0.596181,duplicate
bz_pair_0099,all-minilm,0.691223,duplicate
bz_pair_0100,all-minilm,0.783503,duplicate
bz_pair_0101,all-minilm,0.164865,not_duplicate
bz_pair_0102,all-minilm,0.259508,not_duplicate
bz_pair_0103,all-minilm,0.43403,duplicate
bz_pair_0104,all-minilm,0.641137,duplicate
bz_pair_0105,all-minilm,0.565248,duplicate
bz_pair_0106,all-minilm,0.097025,not_duplicate
bz_pair_0107,all-minilm,0.611778,duplicate
bz_pair_0108,all-minilm,0.580146,duplicate
bz_pair_0109,all-minilm,0.658082,duplicate
bz_pair_0110,all-minilm,-0.001932,not_duplicate
bz_pair_0111,all-minilm,0.404598,duplicate
bz_pair_0112,all-minilm,0.255172,not_duplicate
bz_pair_0113,all-minilm,0.737793,duplicate
bz_pair_0114,all-minilm,0.206866,not_duplicate
bz_pair_0115,all-minilm,0.626333,duplicate
bz_pair_0116,all-minilm,0.389279,duplicate
bz_pair_0117,all-minilm,0.115713,duplicate
bz_pair_0118,all-minilm,0.590507,duplicate
bz_pair_0119,all-minilm,0.273795,duplicate
bz_pair_0120,all-minilm,0.635861,duplicate
bz_pair_0121,all-minilm,0.216934,not_duplicate
bz_pair_0122,all-minilm,0.761874,duplicate
bz_pair_0123,all-minilm,0.536991,duplicate
bz_pair_0124,all-minilm,0.623664,duplicate
bz_pair_0125,all-minilm,0.084644,not_duplicate
bz_pair_0126,all-minilm,0.71097,duplicate
bz_pair_0127,all-minilm,0.747024,duplicate
bz_pair_0128,all-minilm,0.747863,duplicate
bz_pair_0129,all-minilm,0.149176,not_duplicate
bz_pair_0130,all-minilm,0.598276,duplicate
bz_pair_0131,all-minilm,0.502434,duplicate
bz_pair_0132,all-minilm,0.285713,duplicate
bz_pair_0133,all-minilm,0.453872,duplicate
bz_pair_0134,all-minilm,0.039913,not_duplicate
bz_pair_0135,all-minilm,0.253271,not_duplicate
bz_pair_0136,all-minilm,0.134317,not_duplicate
bz_pair_0137,all-minilm,0.742998,duplicate
bz_pair_0138,all-minilm,0.550526,duplicate
bz_pair_0140,all-minilm,0.337745,duplicate
bz_pair_0141,all-minilm,0.639662,duplicate
bz_pair_0142,all-minilm,0.431395,duplicate
bz_pair_0143,all-minilm,0.1103,duplicate
bz_pair_0144,all-minilm,0.089343,not_duplicate
bz_pair_0145,all-minilm,0.16149,not_duplicate
bz_pair_0146,all-minilm,0.524865,duplicate
bz_pair_0147,all-minilm,0.700648,duplicate
bz_pair_0148,all-minilm,0.687228,duplicate
bz_pair_0149,all-minilm,0.18982,not_duplicate
bz_pair_0150,all-minilm,0.24228,not_duplicate
bz_pair_0151,all-minilm,0.45823,duplicate
bz_pair_0152,all-minilm,0.177132,not_duplicate
bz_pair_0153,all-minilm,0.506198,not_duplicate
bz_pair_0154,all-minilm,0.417438,not_duplicate
bz_pair_0155,all-minilm,0.67897,duplicate
bz_pair_0156,all-minilm,0.53388,duplicate
bz_pair_0157,all-minilm,0.540008,duplicate
bz_pair_0158,all-minilm,0.846028,duplicate
bz_pair_0159,all-minilm,0.446263,duplicate
bz_pair_0160,all-minilm,1.0,duplicate
bz_pair_0161,all-minilm,0.091953,not_duplicate
bz_pair_0162,all-minilm,0.779899,duplicate
bz_pair_0163,all-minilm,0.771462,duplicate
bz_pair_0164,all-minilm,0.355134,duplicate
bz_pair_0165,all-minilm,0.248811,not_duplicate
bz_pair_0166,all-minilm,0.580915,duplicate
bz_pair_0167,all-minilm,0.576436,duplicate
bz_pair_0168,all-minilm,0.495423,duplicate
bz_pair_0169,all-minilm,0.283653,duplicate
bz_pair_0170,all-minilm,0.702482,duplicate
bz_pair_0171,all-minilm,0.748583,duplicate
bz_pair_0172,all-minilm,0.83931,duplicate
bz_pair_0173,all-minilm,0.775964,duplicate
bz_pair_0174,all-minilm,0.703658,duplicate
bz_pair_0175,all-minilm,0.533215,duplicate
bz_pair_0176,all-minilm,0.683325,duplicate
bz_pair_0178,all-minilm,0.247983,not_duplicate
bz_pair_0179,all-minilm,0.429558,duplicate
bz_pair_0180,all-minilm,0.723293,duplicate
bz_pair_0181,all-minilm,0.657799,duplicate
bz_pair_0182,all-minilm,0.125507,not_duplicate
bz_pair_0183,all-minilm,0.228782,not_duplicate
bz_pair_0184,all-minilm,1.0,duplicate
bz_pair_0185,all-minilm,0.689227,duplicate
bz_pair_0186,all-minilm,0.258771,not_duplicate
bz_pair_0187,all-minilm,0.551749,duplicate
bz_pair_0188,all-minilm,0.585107,duplicate
bz_pair_0189,all-minilm,-0.021195,not_duplicate
bz_pair_0190,all-minilm,0.756538,duplicate
bz_pair_0191,all-minilm,0.752555,duplicate
bz_pair_0192,all-minilm,0.678156,duplicate
bz_pair_0193,all-minilm,0.575483,duplicate
bz_pair_0194,all-minilm,0.189926,duplicate
bz_pair_0195,all-minilm,1.0,duplicate
bz_pair_0196,all-minilm,0.758866,duplicate
bz_pair_0197,all-minilm,0.544719,duplicate
bz_pair_0198,all-minilm,0.539892,duplicate
bz_pair_0199,all-minilm,0.297674,duplicate
bz_pair_0200,all-minilm,0.588587,duplicate
bz_pair_0201,all-minilm,0.703473,duplicate
bz_pair_0202,all-minilm,0.062429,not_duplicate
bz_pair_0203,all-minilm,0.558082,duplicate
bz_pair_0204,all-minilm,0.104475,not_duplicate
bz_pair_0205,all-minilm,0.56126,duplicate
bz_pair_0206,all-minilm,0.416125,duplicate
bz_pair_0207,all-minilm,0.16871,not_duplicate
bz_pair_0208,all-minilm,0.577674,duplicate
bz_pair_0209,all-minilm,0.677614,duplicate
bz_pair_0210,all-minilm,0.652168,duplicate
bz_pair_0211,all-minilm,0.751446,duplicate
bz_pair_0212,all-minilm,0.12318,not_duplicate
bz_pair_0213,all-minilm,0.246213,not_duplicate
bz_pair_0214,all-minilm,0.29048,duplicate
bz_pair_0215,all-minilm,0.698492,duplicate
bz_pair_0216,all-minilm,1.0,duplicate
bz_pair_0217,all-minilm,0.423522,duplicate
bz_pair_0218,all-minilm,0.78612,duplicate
bz_pair_0219,all-minilm,0.681604,duplicate
bz_pair_0220,all-minilm,0.087197,not_duplicate
bz_pair_0221,all-minilm,0.014159,not_duplicate
bz_pair_0222,all-minilm,0.209426,duplicate
bz_pair_0223,all-minilm,0.827109,duplicate
bz_pair_0224,all-minilm,0.132765,not_duplicate
bz_pair_0225,all-minilm,0.207029,not_duplicate
bz_pair_0226,all-minilm,0.677032,duplicate
bz_pair_0227,all-minilm,0.148128,not_duplicate
bz_pair_0228,all-minilm,0.223087,not_duplicate
bz_pair_0229,all-minilm,0.043012,not_duplicate
bz_pair_0230,all-minilm,0.009542,not_duplicate
bz_pair_0231,all-minilm,0.255962,duplicate
bz_pair_0232,all-minilm,0.766471,duplicate
bz_pair_0233,all-minilm,0.208648,not_duplicate
bz_pair_0234,all-minilm,0.377991,duplicate
bz_pair_0236,all-minilm,0.242849,not_duplicate
bz_pair_0237,all-minilm,0.208262,not_duplicate
bz_pair_0238,all-minilm,0.424356,duplicate
bz_pair_0239,all-minilm,0.760286,duplicate
bz_pair_0240,all-minilm,0.127722,not_duplicate
bz_pair_0241,all-minilm,0.806774,duplicate
bz_pair_0242,all-minilm,0.670599,duplicate
bz_pair_0243,all-minilm,0.164032,duplicate
bz_pair_0244,all-minilm,0.795969,duplicate
bz_pair_0245,all-minilm,-0.055274,not_duplicate
bz_pair_0246,all-minilm,0.713467,duplicate
bz_pair_0247,all-minilm,0.878294,duplicate
bz_pair_0248,all-minilm,0.706375,duplicate
bz_pair_0249,all-minilm,0.660449,duplicate
bz_pair_0250,all-minilm,0.190341,not_duplicate
bz_pair_0251,all-minilm,0.792937,duplicate
bz_pair_0252,all-minilm,0.47521,duplicate
bz_pair_0253,all-minilm,0.095517,not_duplicate
bz_pair_0254,all-minilm,0.124157,not_duplicate
bz_pair_0255,all-minilm,0.141467,not_duplicate
bz_pair_0256,all-minilm,0.716611,duplicate
bz_pair_0257,all-minilm,0.722184,duplicate
bz_pair_0258,all-minilm,0.48221,duplicate
bz_pair_0259,all-minilm,0.105129,not_duplicate
bz_pair_0260,all-minilm,0.185936,not_duplicate
bz_pair_0261,all-minilm,0.107179,not_duplicate
bz_pair_0262,all-minilm,0.59548,duplicate
bz_pair_0263,all-minilm,0.733109,duplicate
bz_pair_0265,all-minilm,0.811404,duplicate
bz_pair_0266,all-minilm,0.087067,duplicate
bz_pair_0267,all-minilm,0.040357,not_duplicate
bz_pair_0268,all-minilm,0.529062,duplicate
bz_pair_0269,all-minilm,0.69864,duplicate
bz_pair_0270,all-minilm,0.733961,duplicate
bz_pair_0271,all-minilm,0.267074,not_duplicate
bz_pair_0272,all-minilm,0.944406,duplicate
bz_pair_0273,all-minilm,0.183702,not_duplicate
bz_pair_0274,all-minilm,0.982372,duplicate
bz_pair_0275,all-minilm,0.207853,not_duplicate
bz_pair_0276,all-minilm,0.103656,not_duplicate
bz_pair_0277,all-minilm,0.193001,not_duplicate
bz_pair_0278,all-minilm,0.757894,duplicate
bz_pair_0279,all-minilm,0.543678,duplicate
bz_pair_0280,all-minilm,0.663533,duplicate
bz_pair_0281,all-minilm,0.602341,duplicate
bz_pair_0282,all-minilm,0.689971,duplicate
bz_pair_0283,all-minilm,0.70979,duplicate
bz_pair_0284,all-minilm,0.56472,duplicate
bz_pair_0285,all-minilm,0.526119,duplicate
bz_pair_0286,all-minilm,0.024735,duplicate
bz_pair_0287,all-minilm,0.115414,not_duplicate
bz_pair_0288,all-minilm,0.185409,not_duplicate
bz_pair_0289,all-minilm,0.718188,duplicate
bz_pair_0290,all-minilm,0.115241,not_duplicate
bz_pair_0291,all-minilm,0.083872,not_duplicate
bz_pair_0292,all-minilm,0.575241,duplicate
bz_pair_0293,all-minilm,0.131909,duplicate
bz_pair_0294,all-minilm,0.107781,duplicate
bz_pair_0295,all-minilm,0.272875,duplicate
bz_pair_0296,all-minilm,0.637809,duplicate
bz_pair_0297,all-minilm,0.105803,not_duplicate
bz_pair_0298,all-minilm,0.189335,duplicate
bz_pair_0299,all-minilm,0.472891,duplicate
bz_pair_0300,all-minilm,0.183812,not_duplicate
bz_pair_0301,all-minilm,1.0,duplicate
bz_pair_0302,all-minilm,0.1021,duplicate
bz_pair_0303,all-minilm,0.512799,duplicate
bz_pair_0304,all-minilm,0.301564,not_duplicate
bz_pair_0305,all-minilm,0.515523,duplicate
bz_pair_0306,all-minilm,0.627142,duplicate
bz_pair_0307,all-minilm,0.709879,duplicate
bz_pair_0308,all-minilm,0.761179,duplicate
bz_pair_0309,all-minilm,0.747121,duplicate
bz_pair_0310,all-minilm,0.442353,duplicate
bz_pair_0311,all-minilm,0.777052,duplicate
bz_pair_0312,all-minilm,0.073852,not_duplicate
bz_pair_0313,all-minilm,0.028575,not_duplicate
bz_pair_0314,all-minilm,0.707002,duplicate
bz_pair_0315,all-minilm,0.689785,duplicate
bz_pair_0316,all-minilm,0.56645,duplicate
bz_pair_0317,all-minilm,0.292772,not_duplicate
bz_pair_0318,all-minilm,0.482338,duplicate
bz_pair_0319,all-minilm,0.052005,not_duplicate
bz_pair_0320,all-minilm,0.696945,duplicate
bz_pair_0321,all-minilm,0.554395,duplicate
bz_pair_0322,all-minilm,0.78612,duplicate
bz_pair_0323,all-minilm,0.328545,not_duplicate
bz_pair_0324,all-minilm,0.399543,duplicate
bz_pair_0325,all-minilm,0.675332,duplicate
bz_pair_0326,all-minilm,0.999217,duplicate
bz_pair_0327,all-minilm,0.083444,not_duplicate
bz_pair_0328,all-minilm,0.979182,duplicate
bz_pair_0329,all-minilm,0.03996,not_duplicate
bz_pair_0330,all-minilm,0.932782,duplicate
bz_pair_0331,all-minilm,0.152095,not_duplicate
bz_pair_0332,all-minilm,0.124872,not_duplicate
bz_pair_0333,all-minilm,0.700691,duplicate
bz_pair_0334,all-minilm,0.553174,duplicate
bz_pair_0335,all-minilm,1.0,duplicate
bz_pair_0336,all-minilm,0.492023,duplicate
bz_pair_0337,all-minilm,0.30934,duplicate
bz_pair_0338,all-minilm,0.692524,duplicate
bz_pair_0340,all-minilm,1.0,duplicate
bz_pair_0341,all-minilm,0.250085,not_duplicate
bz_pair_0342,all-minilm,0.476733,duplicate
bz_pair_0343,all-minilm,0.475726,duplicate
bz_pair_0344,all-minilm,0.878688,duplicate
bz_pair_0345,all-minilm,0.659488,duplicate
bz_pair_0346,all-minilm,0.70825,duplicate
bz_pair_0347,all-minilm,0.182695,duplicate
bz_pair_0348,all-minilm,0.677516,duplicate
bz_pair_0349,all-minilm,0.098578,not_duplicate
bz_pair_0000,nomic-embed-text,0.696889,duplicate
bz_pair_0001,nomic-embed-text,0.800687,duplicate
bz_pair_0002,nomic-embed-text,0.738969,duplicate
bz_pair_0003,nomic-embed-text,0.595166,duplicate
bz_pair_0004,nomic-embed-text,0.539277,duplicate
bz_pair_0005,nomic-embed-text,0.531935,not_duplicate
bz_pair_0006,nomic-embed-text,0.591287,not_duplicate
bz_pair_0007,nomic-embed-text,0.82092,duplicate
bz_pair_0008,nomic-embed-text,0.539256,not_duplicate
bz_pair_0009,nomic-embed-text,0.684242,duplicate
bz_pair_0010,nomic-embed-text,0.815458,duplicate
bz_pair_0011,nomic-embed-text,0.717116,duplicate
bz_pair_0012,nomic-embed-text,0.614209,not_duplicate
bz_pair_0013,nomic-embed-text,0.621064,duplicate
bz_pair_0014,nomic-embed-text,0.678443,not_duplicate
bz_pair_0015,nomic-embed-text,0.753297,duplicate
bz_pair_0016,nomic-embed-text,0.763452,duplicate
bz_pair_0017,nomic-embed-text,0.768223,duplicate
bz_pair_0018,nomic-embed-text,0.845562,duplicate
bz_pair_0019,nomic-embed-text,0.788397,duplicate
bz_pair_0020,nomic-embed-text,0.749259,duplicate
bz_pair_0021,nomic-embed-text,0.702241,duplicate
bz_pair_0022,nomic-embed-text,0.771179,duplicate
bz_pair_0023,nomic-embed-text,0.529704,not_duplicate
bz_pair_0024,nomic-embed-text,0.802728,duplicate
bz_pair_0025,nomic-embed-text,0.77098,duplicate
bz_pair_0026,nomic-embed-text,0.485261,not_duplicate
bz_pair_0027,nomic-embed-text,0.668856,duplicate
bz_pair_0028,nomic-embed-text,1.0,duplicate
bz_pair_0029,nomic-embed-text,0.767633,duplicate
bz_pair_0030,nomic-embed-text,0.592855,not_duplicate
bz_pair_0031,nomic-embed-text,0.778823,duplicate
bz_pair_0032,nomic-embed-text,0.732593,duplicate
bz_pair_0033,nomic-embed-text,0.529378,duplicate
bz_pair_0034,nomic-embed-text,0.552861,not_duplicate
bz_pair_0035,nomic-embed-text,0.588345,not_duplicate
bz_pair_0036,nomic-embed-text,0.757683,duplicate
bz_pair_0037,nomic-embed-text,0.613387,not_duplicate
bz_pair_0038,nomic-embed-text,0.680751,not_duplicate
bz_pair_0039,nomic-embed-text,0.94307,duplicate
bz_pair_0040,nomic-embed-text,0.759831,duplicate
bz_pair_0041,nomic-embed-text,0.67627,duplicate
bz_pair_0042,nomic-embed-text,0.802967,duplicate
bz_pair_0043,nomic-embed-text,0.762028,duplicate
bz_pair_0044,nomic-embed-text,0.551342,not_duplicate
bz_pair_0045,nomic-embed-text,0.661946,duplicate
bz_pair_0046,nomic-embed-text,0.787938,duplicate
bz_pair_0047,nomic-embed-text,0.74474,duplicate
bz_pair_0048,nomic-embed-text,0.653979,not_duplicate
bz_pair_0049,nomic-embed-text,0.585884,not_duplicate
bz_pair_0050,nomic-embed-text,0.76856,duplicate
bz_pair_0051,nomic-embed-text,0.766134,duplicate
bz_pair_0052,nomic-embed-text,0.719462,duplicate
bz_pair_0053,nomic-embed-text,0.736746,duplicate
bz_pair_0054,nomic-embed-text,1.0,duplicate
bz_pair_0055,nomic-embed-text,0.679598,not_duplicate
bz_pair_0056,nomic-embed-text,0.795078,duplicate
bz_pair_0057,nomic-embed-text,0.834829,duplicate
bz_pair_0058,nomic-embed-text,0.552892,not_duplicate
bz_pair_0059,nomic-embed-text,0.773827,duplicate
bz_pair_0060,nomic-embed-text,0.848812,duplicate
bz_pair_0061,nomic-embed-text,0.491074,not_duplicate
bz_pair_0062,nomic-embed-text,0.820844,duplicate
bz_pair_0063,nomic-embed-text,0.502447,not_duplicate
bz_pair_0064,nomic-embed-text,0.608438,not_duplicate
bz_pair_0065,nomic-embed-text,1.0,duplicate
bz_pair_0066,nomic-embed-text,0.661657,duplicate
bz_pair_0067,nomic-embed-text,0.630465,duplicate
bz_pair_0068,nomic-embed-text,0.798868,duplicate
bz_pair_0069,nomic-embed-text,0.674817,not_duplicate
bz_pair_0070,nomic-embed-text,0.796042,duplicate
bz_pair_0071,nomic-embed-text,0.761626,duplicate
bz_pair_0072,nomic-embed-text,0.646947,duplicate
bz_pair_0073,nomic-embed-text,0.826988,duplicate
bz_pair_0074,nomic-embed-text,0.801199,duplicate
bz_pair_0075,nomic-embed-text,0.695668,duplicate
bz_pair_0076,nomic-embed-text,0.83383,duplicate
bz_pair_0077,nomic-embed-text,0.827265,duplicate
bz_pair_0078,nomic-embed-text,0.742797,duplicate
bz_pair_0079,nomic-embed-text,0.673213,duplicate
bz_pair_0080,nomic-embed-text,0.781362,duplicate
bz_pair_0081,nomic-embed-text,0.70229,duplicate
bz_pair_0082,nomic-embed-text,0.620855,duplicate
bz_pair_0083,nomic-embed-text,0.591345,duplicate
bz_pair_0084,nomic-embed-text,0.737701,duplicate
bz_pair_0085,nomic-embed-text,0.832172,duplicate
bz_pair_0086,nomic-embed-text,0.799416,duplicate
bz_pair_0087,nomic-embed-text,0.640252,not_duplicate
bz_pair_0088,nomic-embed-text,0.841856,duplicate
bz_pair_0089,nomic-embed-text,0.721554,duplicate
bz_pair_0090,nomic-embed-text,0.697734,duplicate
bz_pair_0091,nomic-embed-text,0.737596,duplicate
bz_pair_0092,nomic-embed-text,0.874263,duplicate
bz_pair_0093,nomic-embed-text,0.625971,duplicate
bz_pair_0094,nomic-embed-text,0.655496,not_duplicate
bz_pair_0095,nomic-embed-text,1.0,duplicate
bz_pair_0096,nomic-embed-text,0.540757,duplicate
bz_pair_0097,nomic-embed-text,0.739685,duplicate
bz_pair_0098,nomic-embed-text,0.670662,duplicate
bz_pair_0099,nomic-embed-text,0.766933,duplicate
bz_pair_0100,nomic-embed-text,0.708952,duplicate
bz_pair_0101,nomic-embed-text,0.675495,not_duplicate
bz_pair_0102,nomic-embed-text,0.644557,not_duplicate
bz_pair_0103,nomic-embed-text,0.570983,duplicate
bz_pair_0104,nomic-embed-text,0.7845,duplicate
bz_pair_0105,nomic-embed-text,0.673644,duplicate
bz_pair_0106,nomic-embed-text,0.609943,not_duplicate
bz_pair_0107,nomic-embed-text,0.760518,duplicate
bz_pair_0108,nomic-embed-text,0.706764,duplicate
bz_pair_0109,nomic-embed-text,0.714753,duplicate
bz_pair_0110,nomic-embed-text,0.622097,not_duplicate
bz_pair_0111,nomic-embed-text,0.738982,duplicate
bz_pair_0112,nomic-embed-text,0.575718,not_duplicate
bz_pair_0113,nomic-embed-text,0.807566,duplicate
bz_pair_0114,nomic-embed-text,0.546488,not_duplicate
bz_pair_0115,nomic-embed-text,0.71923,duplicate
bz_pair_0116,nomic-embed-text,0.701873,duplicate
bz_pair_0117,nomic-embed-text,0.531113,duplicate
bz_pair_0118,nomic-embed-text,0.802463,duplicate
bz_pair_0119,nomic-embed-text,0.597366,duplicate
bz_pair_0120,nomic-embed-text,0.720307,duplicate
bz_pair_0121,nomic-embed-text,0.589056,not_duplicate
bz_pair_0122,nomic-embed-text,0.75617,duplicate
bz_pair_0123,nomic-embed-text,0.65232,duplicate
bz_pair_0124,nomic-embed-text,0.691979,duplicate
bz_pair_0125,nomic-embed-text,0.647986,not_duplicate
bz_pair_0126,nomic-embed-text,0.76645,duplicate
bz_pair_0127,nomic-embed-text,0.835362,duplicate
bz_pair_0128,nomic-embed-text,0.746732,duplicate
bz_pair_0129,nomic-embed-text,0.546854,not_duplicate
bz_pair_0130,nomic-embed-text,0.792306,duplicate
bz_pair_0131,nomic-embed-text,0.63987,duplicate
bz_pair_0132,nomic-embed-text,0.62324,duplicate
bz_pair_0133,nomic-embed-text,0.627771,duplicate
bz_pair_0134,nomic-embed-text,0.466957,not_duplicate
bz_pair_0135,nomic-embed-text,0.631914,not_duplicate
bz_pair_0136,nomic-embed-text,0.578494,not_duplicate
bz_pair_0137,nomic-embed-text,0.82792,duplicate
bz_pair_0138,nomic-embed-text,0.767575,duplicate
bz_pair_0139,nomic-embed-text,0.775114,duplicate
bz_pair_0140,nomic-embed-text,0.6247,duplicate
bz_pair_0141,nomic-embed-text,0.787555,duplicate
bz_pair_0142,nomic-embed-text,0.764008,duplicate
bz_pair_0143,nomic-embed-text,0.526113,duplicate
bz_pair_0144,nomic-embed-text,0.468237,not_duplicate
bz_pair_0145,nomic-embed-text,0.585894,not_duplicate
bz_pair_0146,nomic-embed-text,0.660359,duplicate
bz_pair_0147,nomic-embed-text,0.843939,duplicate
bz_pair_0148,nomic-embed-text,0.753025,duplicate
bz_pair_0149,nomic-embed-text,0.606207,not_duplicate
bz_pair_0150,nomic-embed-text,0.654641,not_duplicate
bz_pair_0151,nomic-embed-text,0.636646,duplicate
bz_pair_0152,nomic-embed-text,0.609352,not_duplicate
bz_pair_0153,nomic-embed-text,0.541646,not_duplicate
bz_pair_0154,nomic-embed-text,0.649767,not_duplicate
bz_pair_0155,nomic-embed-text,0.778992,duplicate
bz_pair_0156,nomic-embed-text,0.707695,duplicate
bz_pair_0157,nomic-embed-text,0.746485,duplicate
bz_pair_0158,nomic-embed-text,0.848837,duplicate
bz_pair_0159,nomic-embed-text,0.663529,duplicate
bz_pair_0160,nomic-embed-text,1.0,duplicate
bz_pair_0161,nomic-embed-text,0.502178,not_duplicate
bz_pair_0162,nomic-embed-text,0.810686,duplicate
bz_pair_0163,nomic-embed-text,0.880926,duplicate
bz_pair_0164,nomic-embed-text,0.672418,duplicate
bz_pair_0165,nomic-embed-text,0.677084,not_duplicate
bz_pair_0166,nomic-embed-text,0.678288,duplicate
bz_pair_0167,nomic-embed-text,0.747846,duplicate
bz_pair_0168,nomic-embed-text,0.608029,duplicate
bz_pair_0169,nomic-embed-text,0.647369,duplicate
bz_pair_0170,nomic-embed-text,0.799918,duplicate
bz_pair_0171,nomic-embed-text,0.780074,duplicate
bz_pair_0172,nomic-embed-text,0.841571,duplicate
bz_pair_0173,nomic-embed-text,0.859374,duplicate
bz_pair_0174,nomic-embed-text,0.801312,duplicate
bz_pair_0175,nomic-embed-text,0.759002,duplicate
bz_pair_0176,nomic-embed-text,0.711438,duplicate
bz_pair_0177,nomic-embed-text,0.723307,duplicate
bz_pair_0178,nomic-embed-text,0.610877,not_duplicate
bz_pair_0179,nomic-embed-text,0.733638,duplicate
bz_pair_0180,nomic-embed-text,0.754975,duplicate
